QUD-prejacent,QUD-competence,Check,Gender,Age,English
"(a) ""No, it's not""",,Yes,Male,28,Yes
"(b) ""Yes, it is""",,Yes,Female,32,Yes
"(b) ""Yes, it is""",,Yes,Female,38,Yes
"(b) ""Yes, it is""",,Yes,Female,32,Yes
,"(b) ""Yes, it is""",Yes,Female,34,Yes
,"(b) ""Yes, it is""",No,Female,37,Yes
"(a) ""No, it's not""",,Yes,Male,54,Yes
"(b) ""Yes, it is""",,Yes,Female,33,Yes
"(b) ""Yes, it is""",,No,Male,37,No
,"(b) ""Yes, it is""",Yes,Female,34,No
,"(a) ""No, it's not""",Yes,Female,30,Yes
,"(a) ""No, it's not""",Yes,Female,26,Yes
,"(b) ""Yes, it is""",Yes,Female,44,Yes
,"(b) ""Yes, it is""",Yes,Female,47,No
"(a) ""No, it's not""",,Yes,Male,63,Yes
"(a) ""No, it's not""",,Yes,Female,45,Yes
"(a) ""No, it's not""",,Yes,Female,22,Yes
"(a) ""No, it's not""",,Yes,Male,21,Yes
"(b) ""Yes, it is""",,No,Male,39,Yes
"(a) ""No, it's not""",,Yes,Male,29,Yes
"(b) ""Yes, it is""",,Yes,Female,34,Yes
"(b) ""Yes, it is""",,Yes,Male,23,Yes
,"(a) ""No, it's not""",Yes,Male,48,Yes
"(b) ""Yes, it is""",,Yes,Male,32,Yes
,"(a) ""No, it's not""",Yes,Female,38,Yes
,"(b) ""Yes, it is""",No,Male,31,Yes
,"(a) ""No, it's not""",Yes,Male,29,Yes
,"(b) ""Yes, it is""",Yes,Female,43,Yes
,"(a) ""No, it's not""",Yes,Male,32,Yes
,"(a) ""No, it's not""",Yes,Male,28,Yes
"(a) ""No, it's not""",,Yes,Male,30,No
,"(b) ""Yes, it is""",Yes,Male,35,Yes
"(a) ""No, it's not""",,Yes,Female,44,Yes
"(b) ""Yes, it is""",,Yes,Male,34,Yes
"(a) ""No, it's not""",,Yes,Male,28,Yes
"(a) ""No, it's not""",,Yes,Female,30,Yes
"(a) ""No, it's not""",,Yes,Female,36,Yes
"(a) ""No, it's not""",,Yes,Male,26,Yes
,"(a) ""No, it's not""",Yes,Male,32,Yes
,"(b) ""Yes, it is""",Yes,Female,34,Yes
,"(a) ""No, it's not""",Yes,Female,45,No
,"(b) ""Yes, it is""",Yes,Male,30,Yes
"(b) ""Yes, it is""",,No,Male,24,Yes
,"(a) ""No, it's not""",Yes,Male,38,No
,"(a) ""No, it's not""",Yes,Female,41,Yes
"(b) ""Yes, it is""",,Yes,Male,34,Yes
"(b) ""Yes, it is""",,Yes,Male,48,Yes
"(a) ""No, it's not""",,Yes,Male,27,Yes
,"(a) ""No, it's not""",Yes,Female,59,Yes
,"(b) ""Yes, it is""",Yes,Male,38,Yes
"(a) ""No, it's not""",,Yes,Male,37,No
,"(b) ""Yes, it is""",Yes,Male,32,No
"(a) ""No, it's not""",,Yes,Male,18,No
"(a) ""No, it's not""",,Yes,Female,20,Yes
,"(a) ""No, it's not""",Yes,Male,31,Yes
,"(a) ""No, it's not""",Yes,Male,31,No
,"(b) ""Yes, it is""",Yes,Male,24,Yes
"(b) ""Yes, it is""",,Yes,Female,40,Yes
"(a) ""No, it's not""",,Yes,Female,35,Yes
"(a) ""No, it's not""",,Yes,Male,31,Yes
"(b) ""Yes, it is""",,Yes,Female,31,Yes
"(a) ""No, it's not""",,Yes,Female,68,Yes
,"(b) ""Yes, it is""",Yes,Male,38,Yes
,"(a) ""No, it's not""",Yes,Female,31,Yes
"(a) ""No, it's not""",,Yes,Female,37,Yes
"(a) ""No, it's not""",,Yes,Male,33,Yes
,"(b) ""Yes, it is""",Yes,Female,31,Yes
"(b) ""Yes, it is""",,Yes,Male,37,Yes
,"(b) ""Yes, it is""",Yes,Male,39,Yes
