QUD-prejacent,QUD-competence,Check,Gender,Age,English"Fat Tony is a
mobster who has faked his own death in order to evade the police.  He secretly plants highly compelling
evidence of his murder at the docks. 
The evidence is discovered by the authorities, and the forensic expert
is summoned to the scene.  After
carefully reviewing the evidence he concludes, “Fat Tony might be dead.”   












A week later, a murder is committed.  The detective assigned to investigate the murder is trying to figure out whether Fat Tony could be responsible, and consults a criminal informant. The informant knows that Tony is alive.  The detective asks:
  “We’re trying to find the killer.  We know that the victim was an enemy of
Fat Tony.  However, our forensic
expert said, ‘Fat Tony might be dead.’ 
Is what he said true?” Which of the following responses would be correct:","Fat Tony is a mobster who has faked
his own death in order to evade the police.  He secretly plants highly compelling evidence of his murder
at the docks.  The evidence is
discovered by the authorities, and Ed the forensic expert is summoned to the
scene.  After carefully reviewing
the evidence he concludes, “Fat Tony might be dead.”   A week later, another forensic expert, Ted, is given new
evidence that conclusively shows that Fat Tony is still alive.  The police department is trying to
determine whether the initial investigation was competent, and so sends a
detective to interview Ted.  The detective asks: “We’re trying to figure out whether
Ed’s initial investigation was competent. 
On the basis of the initial evidence, Ed said, ‘Fat Tony might be dead.’  Is what he said true?” 




























Which of the following responses would be correct?","In the scenario you were given, is Fat Tony alive?","Please answer the following questions about yourself. 





